"file","phase","seed","condition","path"
"Start_1","PH1","Start_1","Seed","../Backups/ILMLEX_Backups_Nov2016/results/Start_1"
"PH1_2_25_110110_CH1_parent-Start_1","PH2","Start_1","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1"
"PH1_3_10_101131_CH1_parent-Start_1","PH2","Start_1","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1"
"PH1_3_10_102825_CH1_parent-Start_1","PH2","Start_1","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1"
"PH1_3_24_114805_CH1_parent-Start_1","PH2","Start_1","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1"
"PH1_3_3_101113_CH1_parent-Start_1","PH2","Start_1","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_3_101113_CH1_parent-Start_1"
"Start_3","PH1","Start_3","Seed","../Backups/ILMLEX_Backups_Nov2016/results/Start_3"
"PH1_2_25_110232_CH3_parent-Start_3","PH2","Start_3","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110232_CH3_parent-Start_3"
"PH1_3_10_102849_CH3_parent-Start_3","PH2","Start_3","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102849_CH3_parent-Start_3"
"PH1_3_17_104852_CH3_parent-Start_3","PH2","Start_3","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_17_104852_CH3_parent-Start_3"
"PH1_3_3_110048_CH3_parent-Start_3","PH2","Start_3","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_3_110048_CH3_parent-Start_3"
"Start_2","PH1","Start_2","Seed","../Backups/ILMLEX_Backups_Nov2016/results/Start_2"
"PH1_2_25_110256_CH2_parent-Start_2","PH2","Start_2","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110256_CH2_parent-Start_2"
"PH1_3_10_102817_CH2_parent-Start_2","PH2","Start_2","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102817_CH2_parent-Start_2"
"PH1_3_15_110712_CH2_parent-Start_2","PH2","Start_2","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_15_110712_CH2_parent-Start_2"
"PH1_3_15_110751_CH3_parent-Start_2","PH2","Start_2","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_15_110751_CH3_parent-Start_2"
"PH1_3_3_101139_CH2_parent-Start_2","PH2","Start_2","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_3_101139_CH2_parent-Start_2"
"Start_4","PH1","Start_4","Seed","../Backups/ILMLEX_Backups_Nov2016/results/Start_4"
"PH1_3_10_102825_CH4_parent-Start_4","PH2","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH4_parent-Start_4"
"PH1_3_24_094856_CH4_parent-Start_4","PH2","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_094856_CH4_parent-Start_4"
"PH1_3_8_105005_CH1_parent-Start_4","PH2","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_8_105005_CH1_parent-Start_4"
"PH1_3_8_105030_CH2_parent-Start_4","PH2","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_8_105030_CH2_parent-Start_4"
"PH1_5_19_111631_CH2_parent-Start_4","PH2","Start_4","Learnability + Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH1_5_19_111631_CH2_parent-Start_4"
"PH1_6_14_114615_CH1_parent-Start_4","PH2","Start_4","Learnability + Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH1_6_14_114615_CH1_parent-Start_4"
"PH1_6_28_095126_CH1_parent-Start_4","PH2","Start_4","Learnability + Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH1_6_28_095126_CH1_parent-Start_4"
"PH2_6_16_114047_CH1_parent-Start_4","PH2","Start_4","Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4"
"PH1_8_16_125333_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_8_16_125333_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4"
"PH1_8_23_135833_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_8_23_135833_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4"
"PH1_8_9_120335_CH1_parent-Start_4","PH2","Start_4","Learnability + Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH1_8_9_120335_CH1_parent-Start_4"
"PH2_5_26_112353_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_5_26_112353_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4"
"PH3_5_19_113844_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_5_19_113844_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4"
"PH2_6_14_100004_CH1_parent-PH3_5_19_113844_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_14_100004_CH1_parent-PH3_5_19_113844_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4"
"PH2_6_2_113539_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_2_113539_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4"
"PH2_6_23_094112_CH1_parent-Start_4","PH2","Start_4","Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_23_094112_CH1_parent-Start_4"
"PH2_6_28_114809_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_28_114809_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4"
"PH2_6_28_122845_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_28_122845_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4"
"PH2_6_7_113002_CH3_parent-PH1_3_24_094856_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_7_113002_CH3_parent-PH1_3_24_094856_CH4_parent-Start_4"
"PH2_6_9_095038_CH1_parent-Start_4","PH2","Start_4","Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_9_095038_CH1_parent-Start_4"
"PH2_8_9_105752_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_8_9_105752_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4"
"PH2_8_9_130358_CH1_parent-Start_4","PH2","Start_4","Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH2_8_9_130358_CH1_parent-Start_4"
"PH3_8_11_105735_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_105735_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4"
"PH3_8_11_111725_CH2_parent-PH2_6_16_114047_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_111725_CH2_parent-PH2_6_16_114047_CH1_parent-Start_4"
"PH3_8_11_120042_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_120042_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4"
"PH3_8_11_140112_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_140112_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4"
"PH3_8_11_140215_CH2_parent-PH1_6_14_114615_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_140215_CH2_parent-PH1_6_14_114615_CH1_parent-Start_4"
"PH3_8_11_150709_CH2_parent-PH2_6_9_095038_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_150709_CH2_parent-PH2_6_9_095038_CH1_parent-Start_4"
"PH3_8_11_150806_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_150806_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4"
"PH3_8_16_095835_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_16_095835_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4"
"PH3_8_16_105943_CH1_parent-PH2_6_9_095038_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_16_105943_CH1_parent-PH2_6_9_095038_CH1_parent-Start_4"
"PH3_8_16_125434_CH2_parent-PH2_6_23_094112_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_16_125434_CH2_parent-PH2_6_23_094112_CH1_parent-Start_4"
"PH3_8_18_095906_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_18_095906_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4"
"PH3_8_18_101955_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_18_101955_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4"
"PH3_8_18_112916_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_18_112916_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4"
"PH3_8_18_123040_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_18_123040_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4"
"PH3_8_23_095901_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_23_095901_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4"
"PH3_8_23_103135_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_23_103135_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4"
"PH3_8_23_130125_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_23_130125_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4"
"PH3_8_26_115808_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_115808_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4"
"PH3_8_26_115915_CH2_parent-PH1_3_8_105030_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_115915_CH2_parent-PH1_3_8_105030_CH2_parent-Start_4"
"PH3_8_26_130220_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_130220_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4"
"PH3_8_26_135917_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_135917_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4"
"PH3_8_26_143312_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_143312_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4"
"PH3_8_26_155900_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_155900_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4"
"PH3_8_26_161905_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_161905_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4"
"PH3_8_29_095642_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_095642_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4"
"PH3_8_29_102914_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_102914_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4"
"PH3_8_29_110114_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_110114_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4"
"PH3_8_29_110220_CH2_parent-PH2_6_9_095038_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_110220_CH2_parent-PH2_6_9_095038_CH1_parent-Start_4"
"PH3_8_29_113136_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_113136_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4"
"PH3_8_29_115833_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_115833_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4"
"PH3_8_29_132920_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_132920_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4"
"PH3_8_29_142805_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_142805_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4"
"PH3_8_31_093538_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_093538_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4"
"PH3_8_31_095539_CH1_parent-PH2_6_9_095038_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_095539_CH1_parent-PH2_6_9_095038_CH1_parent-Start_4"
"PH3_8_31_123521_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_123521_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4"
"PH3_8_31_125954_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_125954_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4"
"PH3_8_31_133157_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_133157_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4"
"PH3_8_31_150325_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_150325_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4"
